mod_variants,Ford Figo Ambiente petrol,Ford Figo Titanium petrol,Ford Figo Titanium AT petrol,Ford Figo Titanium Diesel,Ford Ecosport ambiente petrol,Ford Ecosport ambiente diesel,Ford Ecosport trend petrol,Ford Ecosport trend diesel,Ford Ecosport titanium petrol,Ford Ecosport titanium diesel,Honda City V MT Petrol,Honda City V CVT Petrol,Honda City VX MT Petrol,Honda City V MT Diesel,Honda City VX MT Diesel,Honda City ZX CVT Petrol,Honda City VX CVT Petrol,Honda Jazz VX MT Petrol,Honda Jazz ZX MT Petrol,Honda Jazz VX CVT Petrol,Honda Jazz ZX CVT Petrol,Hyundai grand i10 NIOS Magna MT Petrol,Hyundai grand i10 NIOS Magna AMT Petrol,Hyundai grand i10 NIOS Sportz MT Petrol,Hyundai grand i10 NIOS Sportz MT Diesel,Hyundai grand i10 NIOS Asta CRDi,Hyundai verna SX MT Petrol,Hyundai verna SX MT Diesel,Hyundai verna SX AT Diesel,Hyundai verna Splus MT Petrol,Hyundai verna SPlus MT Diesel,Mahindra Bolero Neo N8 MT Diesel,Mahindra Bolero Neo N10 MT Diesel,Mahindra Bolero Neo N4 MT Diesel,Mahindra XUV700 MX MT Petrol,Mahindra XUV700 MX MT Diesel,Mahindra XUV700 AX5 Automatic Petrol,Mahindra XUV700 AX5 Automatic Diesel,Mahindra XUV700 AX7 Automatic Petrol,Mahindra XUV700 AX7 Automatic Diesel,Maruti Suzuki Baleno Sigma MT Petrol,Maruti Suzuki Baleno Delta MT Petrol,Maruti Suzuki Baleno Zeta MT Petrol,Maruti Suzuki Baleno Zeta Automatic Petrol,Maruti Suzuki Baleno Delta Automatic Petrol,Maruti Suzuki Baleno Alpha MT Petrol,Maruti Suzuki Dzire LXI MT Petrol,Maruti Suzuki Dzire VXI MT Petrol,Tata Nexon XZ Petrol,Tata Nexon XM Petrol,Tata Nexon XMA AMT Petrol,Tata Nexon XM MT Diesel,Tata Nexon XMA AMT Diesel,Tata Tiago XT MT Petrol,Tata Tiago XZ MT Petrol,Tata Tiago XTA Automatic Petrol,Tata Tiago XZPlus MT Petrol,Toyota Innova 2.5 VX MT Diesel,Toyota Innova 2.5 ZX MT Diesel,Toyota Innova 2.5 GX MT Diesel,Toyota Urban Cruiser Mid MT Petrol,Toyota Urban Cruiser High MT Petrol,Toyota Urban Cruiser Premium MT Petrol,Toyota Urban Cruiser Premium Automatic Petrol,Toyota Urban Cruiser High Automatic Petrol
cnv_power_windows,Front,Front and Rear,Front and Rear,Front and Rear,"Front and Rear, One Touch","Front and Rear, One Touch","Front and Rear, One Touch","Front and Rear, One Touch","Front and Rear, One Touch","Front and Rear, One Touch",Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Delayed,Delayed,Delayed,One touch,One touch,One touch,One touch,One touch,One touch,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Front,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear,Front and Rear
cnv_boot_lamp,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_engine_start_button,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
cnv_auto_head_lamp,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
cnv_wipers,Manual,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Rain Sensing,Manual,Manual,Manual,Manual,Manual,Rain Sensing,Rain Sensing,Rain Sensing
cnv_power_supply,twelve volt power source,twelve volt power source,twelve volt power source,twelve volt power source,twelve volt power source front,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front and rear,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front,twelve volt power source front
cnv_boot_release,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_seat_height_adjust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_key_system,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_paddle_shifter,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
cnv_footrest,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Front,Front,Front,Front,Front,Front,Front,Front,Front,Front,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_dust_pollen_filter,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_power_steering,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Motor driven and Electric,Motor driven and Electric,Motor driven and Electric,Motor driven and Electric,Motor driven and Electric,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_vanity_mirror,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_glove_box,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cold Storage,Yes,Cold Storage,Yes,Cold Storage,Yes,Yes,Yes,Cold Storage,Cold Storage,Cold Storage
cnv_rear_seat_split,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,sixty forty split,sixty forty split,sixty forty split,sixty forty split,sixty forty split,sixty forty split,sixty forty split,sixty forty split,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,sixty forty split ,sixty forty split ,sixty forty split ,sixty forty split ,sixty forty split ,sixty forty split ,sixty forty split ,sixty forty split 
cnv_central_locking,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_cruise_control,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Manual,Manual,Manual,Manual,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cnv_heat_rejection_glass,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
cnv_others,,,,,Driver Footrest,Driver Footrest,Driver Footrest,Driver Footrest,Driver Footrest,Driver Footrest,,,,,,,,,,,,,,,,,,,,,,"Engine start stop micro hybrid, Power AC with Eco mode,Driver information system,Flip key","Engine start stop micro hybrid, Power AC with Eco mode,Driver information system,Flip key","Engine start stop micro hybrid, Power AC with Eco mode,Driver information system,Flip key",,,,,,,,,,,,,,,,,,,,,,,,Wireless charger,Wireless charger,Wireless charger,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent_vehicle_connectivity,Ford Pass,Ford Pass,Ford Pass,Ford Pass,Ford Pass,Ford Pass,Ford Pass,Ford Pass,Ford Pass,Ford Pass,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,Next Gen Honda Connect With Telematics Control Unit,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Adrenox Connect,Adrenox Connect,Adrenox Connect,Adrenox Connect,No,No,No,No,No,No,No,No,ConnectNext,ConnectNext,ConnectNext,ConnectNext,ConnectNext,ConnectNext,ConnectNext,ConnectNext,ConnectNext,No,No,No,No,No,No,No,No
ent_touchscreen,No,17.78 cm,17.78 cm,17.78 cm,22.86 cm,22.86 cm,22.86 cm,22.86 cm,22.86 cm,22.86 cm,20.32 cm,20.32 cm,20.32 cm,20.32 cm,20.32 cm,20.32 cm,20.32 cm,17.7 cm,17.7 cm,17.7 cm,17.7 cm,No,No,20.25 cm,20.25 cm,20.25 cm,20.32 cm,20.32 cm,20.32 cm,20.32 cm,20.32 cm,No,17.8 cm,No,20.32 cm,20.32 cm,26.03 cm,26.03 cm,26.03 cm,26.03 cm,Yes,Yes,Yes,Yes,Yes,Yes,17.78 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm,20.32 cm,20.32 cm,20.32 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm,17.78 cm
ent_navigation,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
ent_audio_system,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ent_bluetooth,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ent_speakers_tweeters,No,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers and two tweeters,four speakers and two tweeters,No,four speakers,four speakers,six speakers,six speakers,six speakers,six speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,four speakers,eight speakers,eight speakers,eight speakers,eight speakers,eight speakers,eight speakers,eight speakers,eight speakers,eight speakers,four speakers and two tweeters,four speakers and two tweeters,four speakers and two tweeters,four speakers and two tweeters,four speakers and two tweeters,four speakers and two tweeters,four speakers and two tweeters,four speakers and two tweeters
ent_microphone,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ent_steering_mounted_control,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"audio, bluetooth, voice recognition","audio, bluetooth, voice recognition","audio, bluetooth, voice recognition","audio, bluetooth, voice recognition","audio, bluetooth, voice recognition","audio, bluetooth","audio, bluetooth","audio, bluetooth","audio, bluetooth","audio, bluetooth",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ent_mobile_connectivity,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ent_aux_in_usb,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ent_remote_control,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Hyundai iBlue,Hyundai iBlue,Hyundai iBlue,Hyundai iBlue,Hyundai iBlue,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
ent_others,,,,,,,,,SYNC 3 with Voice Recognition,SYNC 3 with Voice Recognition,"Alexa Remote Capability, Optical Bonding Display Coating For Total Reflection Reduction, Weblink Support, Premium Surround Sound System, Steering Mounted Voice Recognition Switch with Illumination","Alexa Remote Capability, Optical Bonding Display Coating For Total Reflection Reduction, Weblink Support, Premium Surround Sound System, Steering Mounted Voice Recognition Switch with Illumination","Alexa Remote Capability, Optical Bonding Display Coating For Total Reflection Reduction, Weblink Support, Premium Surround Sound System, Steering Mounted Voice Recognition Switch with Illumination","Alexa Remote Capability, Optical Bonding Display Coating For Total Reflection Reduction, Weblink Support, Premium Surround Sound System, Steering Mounted Voice Recognition Switch with Illumination","Alexa Remote Capability, Optical Bonding Display Coating For Total Reflection Reduction, Weblink Support, Premium Surround Sound System, Steering Mounted Voice Recognition Switch with Illumination","Alexa Remote Capability, Optical Bonding Display Coating For Total Reflection Reduction, Weblink Support, Premium Surround Sound System, Steering Mounted Voice Recognition Switch with Illumination","Alexa Remote Capability, Optical Bonding Display Coating For Total Reflection Reduction, Weblink Support, Premium Surround Sound System, Steering Mounted Voice Recognition Switch with Illumination","Android Auto, Apple Carplay, Weblink","Android Auto, Apple Carplay, Weblink","Android Auto, Apple Carplay, Weblink","Android Auto, Apple Carplay, Weblink",,,"Apple Carplay, Android Audio, Voice Recognition","Apple Carplay, Android Audio, Voice Recognition","Apple Carplay, Android Audio, Voice Recognition","Apple Carplay, Android Audio, Arkamys Sound","Apple Carplay, Android Audio, Arkamys Sound","Apple Carplay, Android Audio, Arkamys Sound","Apple Carplay, Android Audio, Arkamys Sound","Apple Carplay, Android Audio, Arkamys Sound",Blesense app,Blesense app,Blesense app,Android Auto,Android Auto,"Wireless Android Auto, Wireless Apple Carplay, Amazon Alexa Built in ","Wireless Android Auto, Wireless Apple Carplay, Amazon Alexa Built in ","Wireless Android Auto, Wireless Apple Carplay, Amazon Alexa Built in ","Wireless Android Auto, Wireless Apple Carplay, Amazon Alexa Built in ","Android Auto,Apple CarPlay","Android Auto,Apple CarPlay, SmartPlay Studio System","Android Auto,Apple CarPlay, SmartPlay Studio System","Android Auto,Apple CarPlay, SmartPlay Studio System","Android Auto,Apple CarPlay, SmartPlay Studio System","Android Auto,Apple CarPlay, SmartPlay Studio System","Android Auto,Apple CarPlay, SmartPlay Studio System","Android Auto,Apple CarPlay, SmartPlay Studio System","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay","Voice Support in Hindi, English and Hinglish. Android Auto, Apple Carplay",,,,Android Auto and Apple Carplay,Android Auto and Apple Carplay,Android Auto and Apple Carplay,Android Auto and Apple Carplay,Android Auto and Apple Carplay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ins_speedometer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Digital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ins_tachometer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ins_gear_shift_indicator,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
ins_cabin_lamp,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ins_puddle_lamp,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ins_front_map_lamp,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ins_glove_box_illumination,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ins_footwell_lighting,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
ins_tyre_pressure_monitor,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
